iter	Passed	Remaining
0	0	926
1	1	841
2	2	784
3	3	775
4	3	763
5	4	751
6	5	739
7	5	738
8	6	734
9	7	729
10	8	727
11	8	725
12	9	724
13	10	721
14	11	736
15	11	733
16	13	790
17	14	788
18	15	780
19	15	771
20	16	765
21	17	761
22	17	757
23	18	753
24	19	749
25	19	746
26	20	742
27	21	739
28	21	735
29	22	735
30	23	733
31	24	731
32	25	733
33	25	729
34	26	727
35	27	725
36	28	751
37	29	749
38	30	747
39	31	744
40	31	741
41	32	739
42	33	736
43	33	736
44	34	733
45	35	731
46	36	729
47	36	727
48	37	725
49	38	724
50	39	728
51	39	727
52	40	725
53	41	722
54	42	733
55	43	738
56	44	740
57	45	739
58	46	740
59	47	739
60	47	737
61	48	735
62	49	733
63	49	731
64	50	728
65	51	727
66	52	726
67	53	739
68	54	741
69	55	737
70	56	735
71	57	744
72	58	746
73	59	745
74	60	746
75	61	744
76	61	742
77	62	740
78	63	738
79	64	736
80	64	733
81	65	731
82	66	729
83	66	727
84	67	725
85	68	723
86	68	721
87	69	719
88	70	716
89	70	714
90	72	728
91	73	729
92	75	735
93	76	735
94	77	735
95	78	735
96	78	731
97	79	728
98	80	728
99	80	728
100	81	726
101	82	724
102	83	722
103	83	721
104	84	717
105	84	716
106	85	715
107	88	733
108	89	732
109	90	732
110	91	730
111	91	728
112	92	726
113	93	725
114	94	723
115	94	721
116	95	720
117	96	718
118	96	716
119	97	714
120	98	713
121	98	711
122	99	709
123	100	708
124	100	706
125	103	716
126	104	715
127	105	715
128	105	714
129	106	712
130	107	709
131	107	708
132	108	706
133	109	704
134	109	703
135	110	701
136	111	699
137	111	698
138	112	696
139	113	695
140	113	693
141	114	692
142	115	690
143	116	689
144	117	694
145	118	691
146	118	689
147	119	688
148	120	686
149	120	684
150	121	683
151	122	681
152	122	680
153	123	678
154	124	677
155	124	675
156	125	674
157	126	673
158	127	671
159	127	670
160	128	669
161	129	669
162	131	677
163	132	677
164	133	677
165	134	677
166	135	676
167	136	675
168	137	674
169	137	672
170	138	671
171	139	670
172	139	667
173	140	665
174	140	664
175	141	663
176	142	662
177	143	662
178	144	660
179	144	659
180	146	662
181	147	662
182	148	661
183	148	660
184	149	659
185	150	657
186	150	656
187	151	654
188	152	653
189	153	652
190	153	651
191	154	649
192	155	648
193	155	646
194	156	646
195	157	644
196	157	642
197	158	641
198	159	640
199	159	639
200	161	642
201	162	641
202	162	639
203	163	638
204	164	637
205	165	636
206	165	634
207	166	633
208	167	632
209	167	631
210	168	629
211	169	628
212	169	627
213	170	626
214	171	625
215	171	623
216	172	622
217	173	621
218	173	619
219	174	618
220	176	621
221	176	620
222	177	619
223	178	617
224	178	616
225	179	615
226	180	614
227	181	612
228	181	611
229	182	610
230	183	609
231	183	608
232	184	607
233	185	606
234	186	606
235	186	605
236	187	604
237	188	602
238	189	601
239	190	604
240	191	603
241	192	602
242	192	601
243	193	600
244	194	598
245	195	597
246	195	596
247	196	595
248	197	594
249	197	593
250	198	591
251	199	591
252	199	589
253	200	589
254	201	587
255	201	586
256	202	585
257	203	584
258	203	583
259	205	584
260	206	583
261	206	582
262	207	581
263	208	580
264	208	579
265	209	578
266	210	576
267	210	576
268	211	574
269	212	573
270	213	573
271	213	572
272	214	571
273	215	570
274	215	569
275	216	568
276	217	566
277	217	565
278	218	564
279	219	564
280	220	564
281	221	563
282	221	562
283	222	561
284	223	560
285	223	558
286	224	557
287	225	556
288	225	555
289	227	556
290	228	556
291	229	556
292	230	555
293	231	554
294	231	553
295	232	552
296	233	551
297	235	553
298	235	552
299	236	551
300	237	550
301	237	549
302	238	548
303	239	547
304	239	546
305	240	545
306	241	544
307	242	543
308	242	542
309	243	541
310	244	540
311	244	539
312	245	538
313	246	537
314	246	536
315	247	535
316	248	534
317	250	537
318	251	536
319	252	535
320	253	535
321	253	534
322	254	533
323	255	532
324	255	531
325	256	530
326	257	529
327	257	528
328	258	527
329	259	526
330	259	525
331	260	524
332	261	523
333	261	522
334	262	521
335	265	524
336	266	524
337	267	524
338	268	523
339	269	522
340	269	521
341	270	520
342	271	519
343	271	518
344	272	517
345	273	516
346	273	515
347	274	514
348	275	513
349	275	512
350	276	511
351	277	511
352	279	513
353	280	512
354	281	511
355	282	510
356	282	509
357	283	508
358	284	507
359	284	506
360	285	505
361	286	504
362	286	503
363	287	502
364	288	501
365	288	500
366	289	499
367	290	498
368	291	497
369	292	497
370	292	496
371	294	497
372	295	496
373	295	495
374	296	494
375	297	493
376	297	492
377	298	491
378	299	490
379	300	489
380	300	488
381	301	487
382	302	486
383	302	485
384	303	484
385	304	483
386	304	482
387	305	482
388	306	481
389	307	480
390	308	481
391	309	480
392	310	479
393	311	478
394	311	477
395	312	476
396	313	475
397	313	474
398	314	473
399	315	472
400	315	471
401	316	471
402	317	470
403	317	469
404	318	468
405	319	467
406	320	466
407	320	465
408	321	464
409	322	463
410	324	465
411	325	464
412	325	463
413	326	462
414	327	461
415	327	460
416	328	459
417	329	458
418	330	457
419	330	456
420	331	455
421	332	454
422	332	453
423	333	453
424	334	452
425	335	451
426	335	450
427	336	449
428	337	448
429	338	449
430	339	448
431	340	447
432	341	447
433	342	446
434	343	445
435	343	444
436	344	443
437	345	442
438	345	441
439	346	440
440	347	440
441	347	439
